0,1
0,4
0,7
0,10
0,11
0,12
0,14
0,17
1,1
1,4
1,7
1,10
1,11
1,12
1,14
1,17
2,1
2,4
2,7
2,10
2,11
2,12
2,14
2,17
3,1
3,7
3,10
3,11
3,12
3,17
4,1
4,4
4,7
4,10
4,11
4,12
4,14
4,17
5,4
5,10
5,11
5,12
5,14
6,1
6,4
6,7
6,14
7,1
7,4
7,7
7,10
7,11
7,12
7,14
7,17
8,1
8,7
8,10
8,11
8,12
8,14
8,17
9,1
9,4
9,7
9,10
9,11
9,12
9,14
9,17
10,4
10,7
10,10
10,11
10,12
10,17
11,1
11,4
11,14
11,17
12,1
12,7
12,10
12,12
12,14
13,1
13,4
13,7
13,10
13,12
13,14
14,1
14,4
14,7
14,10
14,14
14,17
15,1
15,4
15,10
15,14
15,17
16,1
16,4
16,7
16,10
16,12
16,14
16,17
17,4
17,7
17,12
17,17
18,1
18,7
18,10
18,12
18,14
19,1
19,4
19,7
19,10
19,12
19,14
19,17
